45,94
45,75
45,62
45,90
45,104
45,128
45,154
45,167
45,184
45,194
45,222
45,237
45,267
45,269
45,297
45,297
45,337
45,336
45,370
45,367
45,371
45,434
45,433
45,434
45,456
45,507
45,508
45,503
45,507
45,585
45,592
45,581
45,580
45,596
45,681
45,687
45,688
45,681
45,675
45,664
45,787
45,775
45,775
45,785
45,806
45,790
45,788
45,778
45,937
45,940
45,942
45,962
45,968
45,952
45,937
45,949
45,968
45,949
45,972
45,1165
45,1170
45,1148
45,1167
45,1165
45,1155
45,1179
45,1159
45,1147
45,1147
45,1150
45,1167
45,1167
45,1432
45,1419
45,1438
45,1453
45,1443
45,1435
45,1403
45,1414
